max_phase,molecule_chembl_id,pref_name
,CHEMBL421195,
,CHEMBL95857,
,CHEMBL316520,
,CHEMBL95701,
,CHEMBL97524,
,CHEMBL109124,
,CHEMBL113624,
,CHEMBL113621,
,CHEMBL112037,
,CHEMBL325238,
,CHEMBL113293,
,CHEMBL113600,
,CHEMBL420302,
,CHEMBL115508,
,CHEMBL114477,
,CHEMBL114478,
,CHEMBL325262,
,CHEMBL112574,
,CHEMBL112125,
,CHEMBL358527,
,CHEMBL356639,
,CHEMBL145780,
,CHEMBL146659,
,CHEMBL145422,
,CHEMBL160817,
,CHEMBL159022,
,CHEMBL1179993,
,CHEMBL1190672,
,CHEMBL1191079,
,CHEMBL1191292,
,CHEMBL1194147,
,CHEMBL1194148,
,CHEMBL2008608,
,CHEMBL2111684,
,CHEMBL2111685,
,CHEMBL2111686,
,CHEMBL3350264,
2.0,CHEMBL478,CHLOROPHENYLPIPERAZINE
,CHEMBL278509,
4.0,CHEMBL660,AMANTADINE
,CHEMBL52849,
,CHEMBL78777,
,CHEMBL81451,
,CHEMBL81500,
,CHEMBL439765,
,CHEMBL82081,
,CHEMBL83448,
,CHEMBL81455,
,CHEMBL79660,
,CHEMBL81389,
,CHEMBL79840,
,CHEMBL79841,
,CHEMBL81360,
,CHEMBL83430,
,CHEMBL309983,
2.0,CHEMBL92484,APTIGANEL
,CHEMBL91628,
,CHEMBL93442,
,CHEMBL96524,
,CHEMBL322329,
,CHEMBL111896,
,CHEMBL112124,
,CHEMBL114510,
,CHEMBL334036,
,CHEMBL112474,
,CHEMBL348313,
,CHEMBL1189094,
,CHEMBL1189107,
,CHEMBL1189111,
,CHEMBL1189219,
,CHEMBL1189225,
,CHEMBL1189234,
,CHEMBL1189705,
,CHEMBL1189714,
,CHEMBL1189827,
,CHEMBL1190185,
,CHEMBL1190422,
,CHEMBL1190428,
,CHEMBL1190431,
,CHEMBL1190914,
,CHEMBL1190923,
,CHEMBL1191176,
,CHEMBL1191387,
,CHEMBL1191390,
,CHEMBL1191394,
,CHEMBL1191395,
,CHEMBL1191399,
,CHEMBL1191609,
,CHEMBL1191614,
,CHEMBL1191807,
,CHEMBL1191808,
,CHEMBL1191810,
,CHEMBL1191815,
