molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id
CHEMBL1743994,,CHEMBL64840
CHEMBL1744013,,CHEMBL64470
CHEMBL80968,,CHEMBL80968
CHEMBL330601,,CHEMBL330601
CHEMBL103156,,CHEMBL103156
CHEMBL103156,,CHEMBL103156
CHEMBL542784,,CHEMBL1191653
CHEMBL542784,,CHEMBL1191653
CHEMBL1744004,,CHEMBL61005
CHEMBL1256916,,CHEMBL303336
CHEMBL77206,,CHEMBL77206
CHEMBL319236,,CHEMBL319236
CHEMBL318877,,CHEMBL318877
CHEMBL318877,,CHEMBL318877
CHEMBL103157,,CHEMBL103157
CHEMBL103157,,CHEMBL103157
CHEMBL339253,,CHEMBL339253
CHEMBL339253,,CHEMBL339253
CHEMBL127899,,CHEMBL127899
CHEMBL127899,,CHEMBL127899
CHEMBL540331,,CHEMBL1190190
CHEMBL540331,,CHEMBL1190190
CHEMBL76802,,CHEMBL76802
CHEMBL76802,,CHEMBL76802
CHEMBL307444,,CHEMBL307444
CHEMBL80784,,CHEMBL80784
CHEMBL1788382,,CHEMBL418310
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542
CHEMBL1744008,,CHEMBL63110
CHEMBL1744011,,CHEMBL423664
CHEMBL312631,,CHEMBL312631
CHEMBL312631,,CHEMBL312631
CHEMBL257661,METAZOCINE,CHEMBL257661
CHEMBL553841,,CHEMBL1195103
CHEMBL553841,,CHEMBL1195103
CHEMBL128998,,CHEMBL128998
CHEMBL128998,,CHEMBL128998
CHEMBL76864,,CHEMBL76864
CHEMBL76864,,CHEMBL76864
CHEMBL1036,HYDROXYHALOPERIDOL,CHEMBL1036
CHEMBL1036,HYDROXYHALOPERIDOL,CHEMBL1036
CHEMBL76475,,CHEMBL76475
CHEMBL430444,,CHEMBL430444
CHEMBL76927,,CHEMBL76927
CHEMBL341508,,CHEMBL341508
CHEMBL341508,,CHEMBL341508
CHEMBL538845,,CHEMBL1189514
CHEMBL538845,,CHEMBL1189514
CHEMBL340275,,CHEMBL340275
CHEMBL340275,,CHEMBL340275
CHEMBL1743998,,CHEMBL64607
CHEMBL1744015,,CHEMBL62126
CHEMBL305728,,CHEMBL305728
CHEMBL305728,,CHEMBL305728
CHEMBL276078,,CHEMBL276078
CHEMBL276078,,CHEMBL276078
CHEMBL538290,,CHEMBL1189226
CHEMBL538290,,CHEMBL1189226
CHEMBL540331,,CHEMBL1190190
CHEMBL540331,,CHEMBL1190190
CHEMBL540331,,CHEMBL1190190
CHEMBL540331,,CHEMBL1190190
CHEMBL1788381,,CHEMBL62540
CHEMBL103319,,CHEMBL103319
CHEMBL103319,,CHEMBL103319
CHEMBL421446,,CHEMBL421446
CHEMBL421446,,CHEMBL421446
CHEMBL128944,,CHEMBL128944
CHEMBL128944,,CHEMBL128944
CHEMBL1743996,,CHEMBL444267
CHEMBL1743992,,CHEMBL64346
CHEMBL311622,,CHEMBL311622
CHEMBL311622,,CHEMBL311622
CHEMBL106027,,CHEMBL106027
CHEMBL560,,CHEMBL560
CHEMBL560,,CHEMBL560
CHEMBL339638,,CHEMBL339638
CHEMBL339638,,CHEMBL339638
CHEMBL128999,,CHEMBL128999
CHEMBL128999,,CHEMBL128999
