molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
CHEMBL97302,,CHEMBL97302,8.67,Ki,nM,2.13,Ki,nM,2.13
CHEMBL300860,,CHEMBL300860,6.86,Ki,nM,139.0,Ki,nM,139.0
CHEMBL85879,,CHEMBL85879,8.59,Ki,nM,2.6,Ki,nM,2.6
CHEMBL94801,,CHEMBL94801,9.35,Ki,nM,0.45,Ki,nM,0.45
CHEMBL9434,PHENYLPIPERAZINE,CHEMBL9434,4.94,Ki,nM,11440.0,Ki,nM,11440.0
CHEMBL94844,,CHEMBL94844,7.35,Ki,nM,44.5,Ki,nM,44.5
CHEMBL325238,,CHEMBL325238,9.1,Ki,nM,0.8,Ki,nM,0.8
CHEMBL110319,,CHEMBL110319,7.63,Ki,nM,23.3,Ki,nM,23.3
CHEMBL109160,,CHEMBL1179993,5.27,Ki,nM,5400.0,Ki,nM,5400.0
CHEMBL277120,,CHEMBL277120,5.57,Ki,nM,2720.0,Ki,nM,2720.0
CHEMBL2111686,,CHEMBL2111686,6.12,Ki,nM,762.3,Ki,nM,762.3
CHEMBL431343,,CHEMBL431343,6.58,Ki,nM,265.0,Ki,nM,265.0
CHEMBL420302,,CHEMBL420302,8.39,Ki,nM,4.1,Ki,nM,4.1
CHEMBL541347,,CHEMBL1190672,8.16,Ki,nM,6.9,Ki,nM,6.9
CHEMBL50239,,CHEMBL50239,7.33,Ki,nM,46.5,Ki,nM,46.5
CHEMBL51630,,CHEMBL51630,6.8,Ki,nM,159.0,Ki,nM,159.0
CHEMBL113621,,CHEMBL113621,7.98,Ki,nM,10.5,Ki,nM,10.5
CHEMBL113600,,CHEMBL113600,4.98,Ki,nM,10480.0,Ki,nM,10480.0
CHEMBL94950,,CHEMBL94950,8.51,Ki,nM,3.07,Ki,nM,3.07
CHEMBL3350264,,CHEMBL3350264,5.89,Ki,nM,1300.0,Ki,nM,1300.0
CHEMBL300408,,CHEMBL300408,7.36,Ki,nM,43.8,Ki,nM,43.8
CHEMBL53938,,CHEMBL53938,7.54,Ki,nM,29.0,Ki,nM,29.0
CHEMBL113624,,CHEMBL113624,4.95,Ki,nM,11360.0,Ki,nM,11360.0
CHEMBL274866,,CHEMBL274866,5.87,Ki,nM,1340.0,Ki,nM,1340.0
CHEMBL115508,,CHEMBL115508,8.52,Ki,nM,3.0,Ki,nM,3.0
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433,7.43,Ki,nM,37.3,Ki,nM,37.3
CHEMBL112125,,CHEMBL112125,8.54,Ki,nM,2.9,Ki,nM,2.9
CHEMBL19351,,CHEMBL19351,6.9,Ki,nM,125.0,Ki,nM,125.0
CHEMBL113293,,CHEMBL113293,8.12,Ki,nM,7.5,Ki,nM,7.5
CHEMBL2008608,,CHEMBL2008608,5.5,Ki,nM,3200.0,Ki,nM,3200.0
CHEMBL59517,,CHEMBL59517,5.23,Ki,nM,5850.0,Ki,nM,5850.0
CHEMBL112037,,CHEMBL112037,8.4,Ki,nM,4.0,Ki,nM,4.0
CHEMBL97285,,CHEMBL97285,8.23,Ki,nM,5.86,Ki,nM,5.86
CHEMBL2111685,,CHEMBL2111685,7.5,Ki,nM,32.0,Ki,nM,32.0
CHEMBL109124,,CHEMBL109124,6.86,Ki,nM,137.7,Ki,nM,137.7
CHEMBL114478,,CHEMBL114478,5.94,Ki,nM,1150.0,Ki,nM,1150.0
CHEMBL421195,,CHEMBL421195,8.76,Ki,nM,1.75,Ki,nM,1.75
CHEMBL52372,,CHEMBL52372,6.82,Ki,nM,152.0,Ki,nM,152.0
CHEMBL9666,,CHEMBL9666,4.95,Ki,nM,11200.0,Ki,nM,11200.0
CHEMBL93442,,CHEMBL93442,8.98,Ki,nM,1.04,Ki,nM,1.04
CHEMBL54,HALOPERIDOL,CHEMBL54,7.98,Ki,nM,10.4,Ki,nM,10.4
CHEMBL478,CHLOROPHENYLPIPERAZINE,CHEMBL478,5.21,Ki,nM,6150.0,Ki,nM,6150.0
CHEMBL278509,,CHEMBL278509,6.26,Ki,nM,550.0,Ki,nM,550.0
CHEMBL112474,,CHEMBL112474,9.05,Ki,nM,0.9,Ki,nM,0.9
CHEMBL538057,,CHEMBL1189111,7.1,Ki,nM,78.7,Ki,nM,78.7
CHEMBL322468,,CHEMBL322468,7.18,Ki,nM,65.3,Ki,nM,65.3
CHEMBL322329,,CHEMBL322329,5.28,Ki,nM,5200.0,Ki,nM,5200.0
CHEMBL112124,,CHEMBL112124,8.96,Ki,nM,1.1,Ki,nM,1.1
CHEMBL660,AMANTADINE,CHEMBL660,7.69,Ki,nM,20.25,Ki,nM,20.25
CHEMBL539310,,CHEMBL1189714,7.24,Ki,nM,58.2,Ki,nM,58.2
CHEMBL552794,,CHEMBL1194508,7.46,Ki,nM,34.5,Ki,nM,34.5
CHEMBL96524,,CHEMBL96524,7.99,Ki,nM,10.3,Ki,nM,10.3
CHEMBL348313,,CHEMBL348313,6.96,Ki,nM,109.0,Ki,nM,109.0
CHEMBL38791,,CHEMBL38791,5.85,Ki,nM,1400.0,Ki,nM,1400.0
CHEMBL54,HALOPERIDOL,CHEMBL54,8.38,Ki,nM,4.2,Ki,nM,4.2
CHEMBL52849,,CHEMBL52849,6.33,Ki,nM,469.0,Ki,nM,469.0
CHEMBL111896,,CHEMBL111896,8.17,Ki,nM,6.7,Ki,nM,6.7
CHEMBL334036,,CHEMBL334036,4.84,Ki,nM,14280.0,Ki,nM,14280.0
CHEMBL538300,,CHEMBL1189234,7.52,Ki,nM,30.1,Ki,nM,30.1
CHEMBL114510,,CHEMBL114510,7.13,Ki,nM,74.0,Ki,nM,74.0
CHEMBL542481,,CHEMBL1191390,7.74,IC50,nM,18.2,IC50,nM,18.2
CHEMBL552605,,CHEMBL1194401,6.58,IC50,nM,261.0,IC50,nM,261.0
CHEMBL543200,,CHEMBL1192023,6.31,IC50,nM,494.0,IC50,nM,494.0
CHEMBL543673,,CHEMBL1192438,7.54,IC50,nM,28.5,IC50,nM,28.5
CHEMBL541860,,CHEMBL1190923,7.69,IC50,nM,20.6,IC50,nM,20.6
CHEMBL542736,,CHEMBL1191614,7.76,IC50,nM,17.3,IC50,nM,17.3
CHEMBL553747,,CHEMBL1195028,6.65,IC50,nM,224.0,IC50,nM,224.0
CHEMBL541848,,CHEMBL1190914,6.95,IC50,nM,113.0,IC50,nM,113.0
CHEMBL543432,,CHEMBL1192227,7.7,IC50,nM,20.0,IC50,nM,20.0
CHEMBL542964,,CHEMBL1191815,7.37,IC50,nM,42.8,IC50,nM,42.8
CHEMBL542486,,CHEMBL1191394,6.42,IC50,nM,381.0,IC50,nM,381.0
CHEMBL543431,,CHEMBL1192226,7.5,IC50,nM,31.8,IC50,nM,31.8
CHEMBL545076,,CHEMBL1193634,6.62,IC50,nM,241.0,IC50,nM,241.0
CHEMBL542487,,CHEMBL1191395,8.35,IC50,nM,4.5,IC50,nM,4.5
CHEMBL543427,,CHEMBL1192223,7.8,IC50,nM,15.8,IC50,nM,15.8
CHEMBL543664,,CHEMBL1192431,6.66,IC50,nM,221.0,IC50,nM,221.0
CHEMBL543196,,CHEMBL1192019,6.95,IC50,nM,113.0,IC50,nM,113.0
CHEMBL554618,,CHEMBL1195456,7.14,IC50,nM,71.8,IC50,nM,71.8
CHEMBL544842,,CHEMBL1193436,7.99,IC50,nM,10.3,IC50,nM,10.3
CHEMBL83448,,CHEMBL83448,8.51,Ki,nM,3.11,Ki,nM,3.11
CHEMBL82081,,CHEMBL82081,7.38,Ki,nM,41.8,Ki,nM,41.8
CHEMBL545544,,CHEMBL1194042,7.34,IC50,nM,45.3,IC50,nM,45.3
CHEMBL543434,,CHEMBL91628,7.09,IC50,nM,82.0,IC50,nM,82.0
CHEMBL545769,,CHEMBL1194237,6.79,IC50,nM,164.0,IC50,nM,164.0
