action_type,molecule_chembl_id,parent_molecule_chembl_id
INHIBITOR,CHEMBL826,CHEMBL826
INHIBITOR,CHEMBL437,CHEMBL437
INHIBITOR,CHEMBL446,CHEMBL446
INHIBITOR,CHEMBL21,CHEMBL21
INHIBITOR,CHEMBL443,CHEMBL443
INHIBITOR,CHEMBL1109,CHEMBL1109
INHIBITOR,CHEMBL438,CHEMBL438
INHIBITOR,CHEMBL453,CHEMBL453
INHIBITOR,CHEMBL439,CHEMBL439
INHIBITOR,CHEMBL1191,CHEMBL1191
INHIBITOR,CHEMBL158,CHEMBL158
INHIBITOR,CHEMBL1082,CHEMBL1082
INHIBITOR,CHEMBL174,CHEMBL174
INHIBITOR,CHEMBL127,CHEMBL127
INHIBITOR,CHEMBL608,CHEMBL608
INHIBITOR,CHEMBL1542,CHEMBL1542
BLOCKER,CHEMBL976,CHEMBL976
BLOCKER,CHEMBL976,CHEMBL976
INHIBITOR,CHEMBL130,CHEMBL130
INHIBITOR,CHEMBL1517,CHEMBL1517
INHIBITOR,CHEMBL1440,CHEMBL1440
INHIBITOR,CHEMBL532,CHEMBL532
INHIBITOR,CHEMBL1741,CHEMBL1741
INHIBITOR,CHEMBL529,CHEMBL529
SEQUESTERING AGENT,CHEMBL267345,CHEMBL267345
SEQUESTERING AGENT,CHEMBL5465559,CHEMBL5465559
SEQUESTERING AGENT,CHEMBL1200656,CHEMBL1200656
INHIBITOR,CHEMBL1201469,CHEMBL1201469
INHIBITOR,CHEMBL1289,CHEMBL1289
INHIBITOR,CHEMBL1200558,CHEMBL1200558
INHIBITOR,CHEMBL137,CHEMBL137
INHIBITOR,CHEMBL64894,CHEMBL459265
INHIBITOR,CHEMBL1103,CHEMBL1103
INHIBITOR,CHEMBL572,CHEMBL572
INHIBITOR,CHEMBL1554,CHEMBL1554
INHIBITOR,CHEMBL1977579,CHEMBL1977579
INHIBITOR,CHEMBL820,CHEMBL820
INHIBITOR,CHEMBL514,CHEMBL514
INHIBITOR,CHEMBL414804,CHEMBL414804
INHIBITOR,CHEMBL1351,CHEMBL1351
INHIBITOR,CHEMBL1455,CHEMBL1455
INHIBITOR,CHEMBL852,CHEMBL852
INHIBITOR,CHEMBL515,CHEMBL515
INHIBITOR,CHEMBL416,CHEMBL416
INHIBITOR,CHEMBL105,CHEMBL105
INHIBITOR,CHEMBL1619,CHEMBL1619
INHIBITOR,CHEMBL476,CHEMBL476
INHIBITOR,CHEMBL1024,CHEMBL1024
INHIBITOR,CHEMBL1475,CHEMBL1475
INHIBITOR,CHEMBL11359,CHEMBL11359
INHIBITOR,CHEMBL1489,CHEMBL1489
INHIBITOR,CHEMBL1542,CHEMBL1542
